DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_MEXRT(1.0),16/01/24 11:00:00,M,PC,EU27_2020,2023-02,-1.1,p
ESTAT:DEMO_MEXRT(1.0),16/01/24 11:00:00,M,PC,EU27_2020,2023-03,1.3,p
ESTAT:DEMO_MEXRT(1.0),16/01/24 11:00:00,M,PC,EU27_2020,2023-04,4.3,p
ESTAT:DEMO_MEXRT(1.0),16/01/24 11:00:00,M,PC,EU27_2020,2023-05,3.6,p
ESTAT:DEMO_MEXRT(1.0),16/01/24 11:00:00,M,PC,EU27_2020,2023-06,3.0,p
ESTAT:DEMO_MEXRT(1.0),16/01/24 11:00:00,M,PC,EU27_2020,2023-07,2.5,p
ESTAT:DEMO_MEXRT(1.0),16/01/24 11:00:00,M,PC,EU27_2020,2023-08,4.1,p
ESTAT:DEMO_MEXRT(1.0),16/01/24 11:00:00,M,PC,EU27_2020,2023-09,4.2,p
ESTAT:DEMO_MEXRT(1.0),16/01/24 11:00:00,M,PC,EU27_2020,2023-10,4.6,p
ESTAT:DEMO_MEXRT(1.0),16/01/24 11:00:00,M,PC,EU27_2020,2023-11,7.7,p
